19702.645805	0.524917
19731.190373	0.524229
19660.015213	0.525945
19683.046578	0.525390
19643.327165	0.526347
19687.058060	0.525293
19700.015833	0.524980
19539.740420	0.528845
19567.448798	0.528177
19433.663466	0.531403
19450.041559	0.531008
19683.341779	0.525382
19645.155587	0.526303
19711.975392	0.524692
19912.508508	0.519857
19873.802560	0.520790
19790.356785	0.522802
19788.873089	0.522838
19486.719433	0.530123
19723.688898	0.524410
19712.434708	0.524681
19802.231074	0.522516
19834.976688	0.521726
19581.876897	0.527829
19890.219217	0.520394
19692.451489	0.525163
19960.590116	0.518697
19842.523502	0.521544
19864.577837	0.521012
19958.203847	0.518755
19991.753924	0.517946
19947.275342	0.519018
19977.974439	0.518278
19952.188517	0.518900
19937.623835	0.519251
19830.229739	0.521841
19780.251771	0.523046
19776.375980	0.523139
19940.652644	0.519178
19888.848706	0.520427
19819.425473	0.522101
19968.624724	0.518503
19992.792297	0.517921
19856.275038	0.521213
19732.616259	0.524194
20027.186149	0.517091
20015.242033	0.517379
19789.877146	0.522814
19716.148928	0.524591
19765.247550	0.523407
19629.633926	0.526677
19702.082880	0.524930
19567.928974	0.528165
19744.044773	0.523919
19610.021167	0.527150
19793.167720	0.522734
19667.790174	0.525757
19563.306419	0.528277
19678.923556	0.525489
19570.316062	0.528108
19725.056516	0.524377
19764.283066	0.523431
19570.237842	0.528110
19572.225765	0.528062
19812.268453	0.522274
19697.030516	0.525052
19842.702773	0.521540
19734.138227	0.524158
19748.940360	0.523801
19716.468568	0.524584
19723.571616	0.524412
19879.436958	0.520654
19723.801916	0.524407
19827.433090	0.521908
19877.497455	0.520701
19873.205674	0.520804
20005.948845	0.517603
19860.330963	0.521115
19801.304392	0.522538
19954.064518	0.518855
19883.345721	0.520560
19992.033557	0.517939
20013.584867	0.517419
19802.027823	0.522521
19640.974826	0.526404
19862.870811	0.521053
19608.219164	0.527194
19695.647175	0.525086
19793.456926	0.522727
19797.992046	0.522618
19799.417769	0.522583
19713.513414	0.524655
19642.730683	0.526362
19695.128607	0.525098
19697.393727	0.525044
19693.571938	0.525136
19665.615716	0.525810
19663.347709	0.525864
19666.927193	0.525778
19746.447511	0.523861
19718.931862	0.524524
19586.436991	0.527719
19720.202892	0.524494
19722.358297	0.524442
19884.610496	0.520529
19902.755969	0.520092
19847.019186	0.521436
19986.501871	0.518072
19727.299235	0.524322
20000.420579	0.517737
20179.944948	0.513408
19904.201591	0.520057
19905.273763	0.520031
19934.418845	0.519328
19911.270668	0.519886
19837.564323	0.521664
19963.413914	0.518629
19900.239775	0.520152
19951.123635	0.518925
19957.447846	0.518773
19965.097333	0.518589
19900.348483	0.520150
19914.399711	0.519811
19982.319358	0.518173
20118.121684	0.514899
19924.260387	0.519573
20036.484203	0.516867
20054.055605	0.516443
19970.320610	0.518463
20207.315993	0.512748
20140.770244	0.514353
19937.936258	0.519243
19861.120966	0.521096
19700.075496	0.524979
19808.459176	0.522365
20051.418572	0.516507
19924.258836	0.519573
20000.844927	0.517727
19994.760604	0.517873
19925.814097	0.519536
19977.787251	0.518283
20036.758291	0.516861
19881.651938	0.520601
19967.864517	0.518522
20006.452021	0.517591
20067.619422	0.516116
19889.945911	0.520401
19893.657833	0.520311
19814.489611	0.522220
19638.279281	0.526469
19679.818769	0.525467
19823.804637	0.521995
19851.361323	0.521331
19728.973043	0.524282
19853.143748	0.521288
19814.586978	0.522218
19776.331865	0.523140
19822.903730	0.522017
19775.421200	0.523162
19751.766379	0.523732
19651.465925	0.526151
19636.557533	0.526510
19626.679084	0.526749
19711.094265	0.524713
19714.475661	0.524632
19554.048643	0.528500
19437.189145	0.531318
